"Time_point","gene","cell_line","guide","replicate","value","biotype"
36,"PPIA.TR2","A549","g1","R2",3.027756,"Protein-coding gene"
42,"PPIA.TR2","A549","g1","R2",3.679489,"Protein-coding gene"
48,"PPIA.TR2","A549","g1","R2",4.445845,"Protein-coding gene"
54,"PPIA.TR2","A549","g1","R2",5.380878,"Protein-coding gene"
60,"PPIA.TR2","A549","g1","R2",6.355097,"Protein-coding gene"
66,"PPIA.TR2","A549","g1","R2",7.260338,"Protein-coding gene"
72,"PPIA.TR2","A549","g1","R2",8.175258,"Protein-coding gene"
78,"PPIA.TR2","A549","g1","R2",8.907957,"Protein-coding gene"
84,"PPIA.TR2","A549","g1","R2",9.478826,"Protein-coding gene"
90,"PPIA.TR2","A549","g1","R2",9.882978,"Protein-coding gene"
0,"PPIA.TR2","A549","g2","R1",0.3635648,"Protein-coding gene"
6,"PPIA.TR2","A549","g2","R1",0.6641504,"Protein-coding gene"
12,"PPIA.TR2","A549","g2","R1",1,"Protein-coding gene"
18,"PPIA.TR2","A549","g2","R1",1.33619,"Protein-coding gene"
24,"PPIA.TR2","A549","g2","R1",1.764053,"Protein-coding gene"
30,"PPIA.TR2","A549","g2","R1",2.274859,"Protein-coding gene"
36,"PPIA.TR2","A549","g2","R1",2.861625,"Protein-coding gene"
42,"PPIA.TR2","A549","g2","R1",3.5956,"Protein-coding gene"
48,"PPIA.TR2","A549","g2","R1",4.481584,"Protein-coding gene"
54,"PPIA.TR2","A549","g2","R1",5.516931,"Protein-coding gene"
60,"PPIA.TR2","A549","g2","R1",6.701241,"Protein-coding gene"
66,"PPIA.TR2","A549","g2","R1",7.823332,"Protein-coding gene"
72,"PPIA.TR2","A549","g2","R1",8.765611,"Protein-coding gene"
78,"PPIA.TR2","A549","g2","R1",9.64942,"Protein-coding gene"
84,"PPIA.TR2","A549","g2","R1",10.19186,"Protein-coding gene"
90,"PPIA.TR2","A549","g2","R1",10.65439,"Protein-coding gene"
0,"PPIA.TR2","A549","g2","R2",0.3538841,"Protein-coding gene"
6,"PPIA.TR2","A549","g2","R2",0.6605465,"Protein-coding gene"
12,"PPIA.TR2","A549","g2","R2",1,"Protein-coding gene"
18,"PPIA.TR2","A549","g2","R2",1.347418,"Protein-coding gene"
24,"PPIA.TR2","A549","g2","R2",1.766728,"Protein-coding gene"
30,"PPIA.TR2","A549","g2","R2",2.249175,"Protein-coding gene"
36,"PPIA.TR2","A549","g2","R2",2.825549,"Protein-coding gene"
42,"PPIA.TR2","A549","g2","R2",3.56593,"Protein-coding gene"
48,"PPIA.TR2","A549","g2","R2",4.457941,"Protein-coding gene"
54,"PPIA.TR2","A549","g2","R2",5.424249,"Protein-coding gene"
60,"PPIA.TR2","A549","g2","R2",6.599661,"Protein-coding gene"
66,"PPIA.TR2","A549","g2","R2",7.655311,"Protein-coding gene"
72,"PPIA.TR2","A549","g2","R2",8.61702,"Protein-coding gene"
78,"PPIA.TR2","A549","g2","R2",9.401115,"Protein-coding gene"
84,"PPIA.TR2","A549","g2","R2",10.02398,"Protein-coding gene"
90,"PPIA.TR2","A549","g2","R2",10.4848,"Protein-coding gene"
0,"PPIA.TR2","A549","g3","R1",0.2582142,"Protein-coding gene"
6,"PPIA.TR2","A549","g3","R1",0.6001538,"Protein-coding gene"
12,"PPIA.TR2","A549","g3","R1",1,"Protein-coding gene"
18,"PPIA.TR2","A549","g3","R1",1.480139,"Protein-coding gene"
24,"PPIA.TR2","A549","g3","R1",1.997422,"Protein-coding gene"
30,"PPIA.TR2","A549","g3","R1",2.570861,"Protein-coding gene"
36,"PPIA.TR2","A549","g3","R1",3.270791,"Protein-coding gene"
42,"PPIA.TR2","A549","g3","R1",4.184765,"Protein-coding gene"
48,"PPIA.TR2","A549","g3","R1",5.174073,"Protein-coding gene"
54,"PPIA.TR2","A549","g3","R1",6.328464,"Protein-coding gene"
60,"PPIA.TR2","A549","g3","R1",7.595047,"Protein-coding gene"
66,"PPIA.TR2","A549","g3","R1",8.818777,"Protein-coding gene"
72,"PPIA.TR2","A549","g3","R1",9.98699,"Protein-coding gene"
78,"PPIA.TR2","A549","g3","R1",10.87562,"Protein-coding gene"
84,"PPIA.TR2","A549","g3","R1",11.63666,"Protein-coding gene"
90,"PPIA.TR2","A549","g3","R1",12.22023,"Protein-coding gene"
0,"PPIA.TR2","A549","g3","R2",0.3055868,"Protein-coding gene"
6,"PPIA.TR2","A549","g3","R2",0.6044468,"Protein-coding gene"
12,"PPIA.TR2","A549","g3","R2",1,"Protein-coding gene"
18,"PPIA.TR2","A549","g3","R2",1.424198,"Protein-coding gene"
24,"PPIA.TR2","A549","g3","R2",1.872616,"Protein-coding gene"
30,"PPIA.TR2","A549","g3","R2",2.432917,"Protein-coding gene"
36,"PPIA.TR2","A549","g3","R2",3.160112,"Protein-coding gene"
42,"PPIA.TR2","A549","g3","R2",3.992199,"Protein-coding gene"
48,"PPIA.TR2","A549","g3","R2",4.971996,"Protein-coding gene"
54,"PPIA.TR2","A549","g3","R2",6.133418,"Protein-coding gene"
60,"PPIA.TR2","A549","g3","R2",7.33348,"Protein-coding gene"
66,"PPIA.TR2","A549","g3","R2",8.461617,"Protein-coding gene"
72,"PPIA.TR2","A549","g3","R2",9.433222,"Protein-coding gene"
78,"PPIA.TR2","A549","g3","R2",10.35875,"Protein-coding gene"
84,"PPIA.TR2","A549","g3","R2",11.11883,"Protein-coding gene"
90,"PPIA.TR2","A549","g3","R2",11.6014,"Protein-coding gene"
0,"GAPDH","A549","g1","R1",0.3120852,"CEG"
6,"GAPDH","A549","g1","R1",0.6325535,"CEG"
12,"GAPDH","A549","g1","R1",1,"CEG"
18,"GAPDH","A549","g1","R1",1.267833,"CEG"
24,"GAPDH","A549","g1","R1",1.537771,"CEG"
30,"GAPDH","A549","g1","R1",1.696867,"CEG"
36,"GAPDH","A549","g1","R1",1.834357,"CEG"
42,"GAPDH","A549","g1","R1",1.928923,"CEG"
48,"GAPDH","A549","g1","R1",2.006422,"CEG"
54,"GAPDH","A549","g1","R1",2.087925,"CEG"
60,"GAPDH","A549","g1","R1",2.105687,"CEG"
66,"GAPDH","A549","g1","R1",2.19071,"CEG"
72,"GAPDH","A549","g1","R1",2.267437,"CEG"
78,"GAPDH","A549","g1","R1",2.317891,"CEG"
84,"GAPDH","A549","g1","R1",2.30238,"CEG"
90,"GAPDH","A549","g1","R1",2.418681,"CEG"
0,"GAPDH","A549","g1","R2",0.3284122,"CEG"
6,"GAPDH","A549","g1","R2",0.6652787,"CEG"
12,"GAPDH","A549","g1","R2",1,"CEG"
18,"GAPDH","A549","g1","R2",1.29961,"CEG"
24,"GAPDH","A549","g1","R2",1.462749,"CEG"
30,"GAPDH","A549","g1","R2",1.590225,"CEG"
36,"GAPDH","A549","g1","R2",1.711945,"CEG"
42,"GAPDH","A549","g1","R2",1.761278,"CEG"
48,"GAPDH","A549","g1","R2",1.863472,"CEG"
54,"GAPDH","A549","g1","R2",1.954831,"CEG"
60,"GAPDH","A549","g1","R2",2.064538,"CEG"
66,"GAPDH","A549","g1","R2",2.080794,"CEG"
72,"GAPDH","A549","g1","R2",2.106484,"CEG"
78,"GAPDH","A549","g1","R2",2.205059,"CEG"
84,"GAPDH","A549","g1","R2",2.233888,"CEG"
90,"GAPDH","A549","g1","R2",2.259325,"CEG"
0,"GAPDH","A549","g2","R1",0.318869,"CEG"
6,"GAPDH","A549","g2","R1",0.6242949,"CEG"
12,"GAPDH","A549","g2","R1",1,"CEG"
18,"GAPDH","A549","g2","R1",1.323541,"CEG"
24,"GAPDH","A549","g2","R1",1.585409,"CEG"
30,"GAPDH","A549","g2","R1",1.784323,"CEG"
36,"GAPDH","A549","g2","R1",1.943466,"CEG"
42,"GAPDH","A549","g2","R1",2.065792,"CEG"
48,"GAPDH","A549","g2","R1",2.220947,"CEG"
54,"GAPDH","A549","g2","R1",2.312442,"CEG"
60,"GAPDH","A549","g2","R1",2.387973,"CEG"
66,"GAPDH","A549","g2","R1",2.449166,"CEG"
72,"GAPDH","A549","g2","R1",2.530864,"CEG"
78,"GAPDH","A549","g2","R1",2.61051,"CEG"
84,"GAPDH","A549","g2","R1",2.616449,"CEG"
90,"GAPDH","A549","g2","R1",2.710583,"CEG"
0,"GAPDH","A549","g2","R2",0.3384156,"CEG"
6,"GAPDH","A549","g2","R2",0.6506353,"CEG"
12,"GAPDH","A549","g2","R2",1,"CEG"
18,"GAPDH","A549","g2","R2",1.308541,"CEG"
24,"GAPDH","A549","g2","R2",1.57623,"CEG"
30,"GAPDH","A549","g2","R2",1.84444,"CEG"
36,"GAPDH","A549","g2","R2",1.998229,"CEG"
42,"GAPDH","A549","g2","R2",2.163446,"CEG"
48,"GAPDH","A549","g2","R2",2.309706,"CEG"
54,"GAPDH","A549","g2","R2",2.405687,"CEG"
60,"GAPDH","A549","g2","R2",2.493428,"CEG"
66,"GAPDH","A549","g2","R2",2.550158,"CEG"
72,"GAPDH","A549","g2","R2",2.651131,"CEG"
78,"GAPDH","A549","g2","R2",2.696956,"CEG"
84,"GAPDH","A549","g2","R2",2.791679,"CEG"
90,"GAPDH","A549","g2","R2",2.785512,"CEG"
0,"GAPDH","A549","g3","R1",0.4096535,"CEG"
6,"GAPDH","A549","g3","R1",0.6898428,"CEG"
12,"GAPDH","A549","g3","R1",1,"CEG"
18,"GAPDH","A549","g3","R1",1.29865,"CEG"
24,"GAPDH","A549","g3","R1",1.529126,"CEG"
30,"GAPDH","A549","g3","R1",1.720254,"CEG"
36,"GAPDH","A549","g3","R1",1.935823,"CEG"
42,"GAPDH","A549","g3","R1",2.120701,"CEG"
48,"GAPDH","A549","g3","R1",2.273657,"CEG"
54,"GAPDH","A549","g3","R1",2.430228,"CEG"
60,"GAPDH","A549","g3","R1",2.603744,"CEG"
66,"GAPDH","A549","g3","R1",2.790217,"CEG"
72,"GAPDH","A549","g3","R1",2.893491,"CEG"
78,"GAPDH","A549","g3","R1",3.010887,"CEG"
84,"GAPDH","A549","g3","R1",3.105817,"CEG"
90,"GAPDH","A549","g3","R1",3.204476,"CEG"
0,"GAPDH","A549","g3","R2",0.4194661,"CEG"
6,"GAPDH","A549","g3","R2",0.7192152,"CEG"
12,"GAPDH","A549","g3","R2",1,"CEG"
18,"GAPDH","A549","g3","R2",1.289247,"CEG"
24,"GAPDH","A549","g3","R2",1.582409,"CEG"
30,"GAPDH","A549","g3","R2",1.792143,"CEG"
36,"GAPDH","A549","g3","R2",1.985367,"CEG"
42,"GAPDH","A549","g3","R2",2.119507,"CEG"
48,"GAPDH","A549","g3","R2",2.216211,"CEG"
54,"GAPDH","A549","g3","R2",2.299903,"CEG"
60,"GAPDH","A549","g3","R2",2.372522,"CEG"
66,"GAPDH","A549","g3","R2",2.445766,"CEG"
72,"GAPDH","A549","g3","R2",2.489763,"CEG"
78,"GAPDH","A549","g3","R2",2.546387,"CEG"
84,"GAPDH","A549","g3","R2",2.563148,"CEG"
90,"GAPDH","A549","g3","R2",2.598042,"CEG"
0,"ZFAS1","A549","g1","R1",0.3323786,"LncRNA"
6,"ZFAS1","A549","g1","R1",0.6559646,"LncRNA"
12,"ZFAS1","A549","g1","R1",1,"LncRNA"
18,"ZFAS1","A549","g1","R1",1.313354,"LncRNA"
24,"ZFAS1","A549","g1","R1",1.608813,"LncRNA"
30,"ZFAS1","A549","g1","R1",1.928732,"LncRNA"
36,"ZFAS1","A549","g1","R1",2.174216,"LncRNA"
42,"ZFAS1","A549","g1","R1",2.457117,"LncRNA"
48,"ZFAS1","A549","g1","R1",2.660244,"LncRNA"
54,"ZFAS1","A549","g1","R1",2.831356,"LncRNA"
60,"ZFAS1","A549","g1","R1",2.989462,"LncRNA"
66,"ZFAS1","A549","g1","R1",3.09724,"LncRNA"
72,"ZFAS1","A549","g1","R1",3.118015,"LncRNA"
78,"ZFAS1","A549","g1","R1",3.150893,"LncRNA"
84,"ZFAS1","A549","g1","R1",3.198739,"LncRNA"
90,"ZFAS1","A549","g1","R1",3.18835,"LncRNA"
0,"ZFAS1","A549","g1","R2",0.2926081,"LncRNA"
6,"ZFAS1","A549","g1","R2",0.6234233,"LncRNA"
12,"ZFAS1","A549","g1","R2",1,"LncRNA"
18,"ZFAS1","A549","g1","R2",1.330704,"LncRNA"
24,"ZFAS1","A549","g1","R2",1.705971,"LncRNA"
30,"ZFAS1","A549","g1","R2",2.09001,"LncRNA"
36,"ZFAS1","A549","g1","R2",2.501135,"LncRNA"
42,"ZFAS1","A549","g1","R2",2.881577,"LncRNA"
48,"ZFAS1","A549","g1","R2",3.28374,"LncRNA"
54,"ZFAS1","A549","g1","R2",3.717328,"LncRNA"
60,"ZFAS1","A549","g1","R2",4.121167,"LncRNA"
66,"ZFAS1","A549","g1","R2",4.494955,"LncRNA"
72,"ZFAS1","A549","g1","R2",4.790677,"LncRNA"
78,"ZFAS1","A549","g1","R2",5.054464,"LncRNA"
84,"ZFAS1","A549","g1","R2",5.262508,"LncRNA"
90,"ZFAS1","A549","g1","R2",5.399007,"LncRNA"
0,"ZFAS1","A549","g2","R1",0.3407402,"LncRNA"
6,"ZFAS1","A549","g2","R1",0.6764384,"LncRNA"
12,"ZFAS1","A549","g2","R1",1,"LncRNA"
18,"ZFAS1","A549","g2","R1",1.382279,"LncRNA"
24,"ZFAS1","A549","g2","R1",1.760258,"LncRNA"
30,"ZFAS1","A549","g2","R1",2.210879,"LncRNA"
36,"ZFAS1","A549","g2","R1",2.636087,"LncRNA"
42,"ZFAS1","A549","g2","R1",3.05992,"LncRNA"
48,"ZFAS1","A549","g2","R1",3.526287,"LncRNA"
